ID;DESC_1_TIER;DESC_2_TIER;DISPLAY_ORDER
0;Others;;999
1;Hong Kong;3;5
2;Hong Kong;1O1O / One2Free / New World Mobility;6
3;Taiwan;APTG;25
4;Japan;au;19
5;China;China Mobile;1
6;Hong Kong;China Motion Telecom;7
7;China;China Telecom;2
8;China;China Tietong;3
9;China;China Unicom;4
10;Hong Kong;China Unicom (Hong Kong) Limited;8
11;Hong Kong;China-Hong Kong Telecom;9
12;Taiwan;Chunghwa;26
13;Hong Kong;CITIC Telecom 1616;10
14;Hong Kong;CMCC HK;11
15;Hong Kong;CSL Limited;12
16;Japan;eMobile;20
17;Taiwan;FarEasTone;27
18;Hong Kong;Hutchison Telecom;13
19;Japan;KDDI;21
20;Hong Kong;New World Mobility;14
21;Japan;NTT docomo;22
22;Japan;Okinawa Cellular Telephone;23
23;Hong Kong;P Plus;15
24;Hong Kong;PCCW Mobile;16
25;Hong Kong;SmarTone;17
26;Hong Kong;SmarTone Mobile Communications Limited;18
27;Japan;SoftBank;24
28;Taiwan;Taiwan Mobile;28
29;Taiwan;VIBO;29
