MCC;MNC;ID;IGNORE
466;01;17;FarEasTone
466;05;3;APTG
466;06;17;FarEasTone
466;11;12;Chunghwa
466;88;17;FarEasTone
466;89;29;VIBO
466;92;12;Chunghwa
466;93;28;Taiwan Mobile
466;97;28;Taiwan Mobile
466;99;28;Taiwan Mobile
460;00;5;China Mobile
460;01;9;China Unicom
460;02;5;China Mobile
460;03;7;China Telecom
460;05;7;China Telecom
460;06;9;China Unicom
460;07;5;China Mobile
460;20;8;China Tietong
440;00;16;eMobile
440;01;21;NTT docomo
440;02;21;NTT docomo
440;03;21;NTT docomo
440;04;27;SoftBank
440;06;27;SoftBank
440;07;19;KDDI
440;08;19;KDDI
440;09;21;NTT docomo
440;10;21;NTT docomo
440;11;21;NTT docomo
440;12;21;NTT docomo
440;13;21;NTT docomo
440;14;21;NTT docomo
440;15;21;NTT docomo
440;16;21;NTT docomo
440;17;21;NTT docomo
440;18;21;NTT docomo
440;19;21;NTT docomo
440;20;27;SoftBank
440;21;21;NTT docomo
440;22;21;NTT docomo
440;23;21;NTT docomo
440;24;21;NTT docomo
440;25;21;NTT docomo
440;26;21;NTT docomo
440;27;21;NTT docomo
440;28;21;NTT docomo
440;29;21;NTT docomo
440;30;21;NTT docomo
440;31;21;NTT docomo
440;32;21;NTT docomo
440;33;21;NTT docomo
440;34;21;NTT docomo
440;35;21;NTT docomo
440;36;21;NTT docomo
440;37;21;NTT docomo
440;38;21;NTT docomo
440;39;21;NTT docomo
440;40;27;SoftBank
440;41;27;SoftBank
440;42;27;SoftBank
440;43;27;SoftBank
440;44;27;SoftBank
440;45;27;SoftBank
440;46;27;SoftBank
440;47;27;SoftBank
440;48;27;SoftBank
440;49;21;NTT docomo
440;50;19;KDDI
440;51;19;KDDI
440;52;19;KDDI
440;53;19;KDDI
440;54;19;KDDI
440;55;19;KDDI
440;56;19;KDDI
440;58;21;NTT docomo
440;60;21;NTT docomo
440;61;21;NTT docomo
440;62;21;NTT docomo
440;63;21;NTT docomo
440;64;21;NTT docomo
440;65;21;NTT docomo
440;66;21;NTT docomo
440;67;21;NTT docomo
440;68;21;NTT docomo
440;69;21;NTT docomo
440;70;4;au
440;71;19;KDDI
440;72;19;KDDI
440;73;19;KDDI
440;74;19;KDDI
440;75;19;KDDI
440;76;19;KDDI
440;77;19;KDDI
440;78;22;Okinawa Cellular Telephone
440;79;19;KDDI
440;87;21;NTT docomo
440;88;19;KDDI
440;89;19;KDDI
440;90;27;SoftBank
440;92;27;SoftBank
440;93;27;SoftBank
440;94;27;SoftBank
440;95;27;SoftBank
440;96;27;SoftBank
440;97;27;SoftBank
440;98;27;SoftBank
440;99;21;NTT docomo
454;00;2;1O1O / One2Free / New World Mobility
454;01;13;CITIC Telecom 1616
454;02;15;CSL Limited
454;03;1;3
454;04;1;3
454;05;1;3
454;06;25;SmarTone
454;07;10;China Unicom (Hong Kong) Limited
454;09;6;China Motion Telecom
454;10;20;New World Mobility
454;11;11;China-Hong Kong Telecom
454;12;14;CMCC HK
454;13;14;CMCC HK
454;14;18;Hutchison Telecom
454;15;26;SmarTone Mobile Communications Limited
454;16;24;PCCW Mobile
454;17;26;SmarTone Mobile Communications Limited
454;18;15;CSL Limited
454;19;24;PCCW Mobile
454;22;23;P Plus
454;29;24;PCCW Mobile
*;*;0;Others
