ID;DESC_1_TIER;DESC_2_TIER;HIDDEN;DISPLAY_ORDER
1;Android;;N;1
4;Android;Android 1.0.x;N;2
5;Android;Android 1.1.x;N;3
6;Android;Android 1.5.x;N;4
7;Android;Android 1.6.x;N;5
8;Android;Android 2.0.x;N;6
9;Android;Android 2.0.1;Y;
10;Android;Android 2.1.x;N;7
11;Android;Android 2.2.x;N;8
12;Android;Android 2.2.1;Y;
13;Android;Android 2.2.2;Y;
14;Android;Android 2.2.3;Y;
15;Android;Android 2.3.x;N;9
16;Android;Android 2.3.1;Y;
17;Android;Android 2.3.2;Y;
18;Android;Android 2.3.3;Y;
19;Android;Android 2.3.4;Y;
20;Android;Android 2.3.5;Y;
21;Android;Android 2.3.6;Y;
22;Android;Android 2.3.7;Y;
23;Android;Android 3.0.x;N;10
24;Android;Android 3.1.x;N;11
25;Android;Android 3.2.x;N;12
26;Android;Android 4.0.x;N;13
27;Android;Android 4.0.1;Y;
28;Android;Android 4.0.2;Y;
29;Android;Android 4.0.3;Y;
30;Android;Android 4.0.4;Y;
31;Android;Android 4.1.x;N;14
32;Android;Android 4.2.x;N;15
33;Android;Android 4.3.x;N;16
34;Android;Android 4.4.x;N;17
95;Android;Android 4.4W.x;N;18
96;Android;Android 5.0.x;N;19
97;Android;Android 5.1.x;N;20
2;Apple iOS;;N;21
35;Apple iOS;Apple iOS 3.0.x;N;22
36;Apple iOS;Apple iOS 3.0.1;Y;
37;Apple iOS;Apple iOS 3.1.x;N;23
38;Apple iOS;Apple iOS 3.1.2;Y;
39;Apple iOS;Apple iOS 3.1.3;Y;
40;Apple iOS;Apple iOS 3.2.x;N;24
41;Apple iOS;Apple iOS 3.2.1;Y;
42;Apple iOS;Apple iOS 3.2.2;Y;
43;Apple iOS;Apple iOS 4.0.x;N;25
44;Apple iOS;Apple iOS 4.0.1;Y;
45;Apple iOS;Apple iOS 4.0.2;Y;
46;Apple iOS;Apple iOS 4.1.x;N;26
47;Apple iOS;Apple iOS 4.2.x;N;27
48;Apple iOS;Apple iOS 4.2.1;Y;
49;Apple iOS;Apple iOS 4.2.10;Y;
50;Apple iOS;Apple iOS 4.2.5;Y;
51;Apple iOS;Apple iOS 4.2.6;Y;
52;Apple iOS;Apple iOS 4.2.7;Y;
53;Apple iOS;Apple iOS 4.2.8;Y;
54;Apple iOS;Apple iOS 4.2.9;Y;
55;Apple iOS;Apple iOS 4.3.x;N;28
56;Apple iOS;Apple iOS 4.3.1;Y;
57;Apple iOS;Apple iOS 4.3.2;Y;
58;Apple iOS;Apple iOS 4.3.3;Y;
59;Apple iOS;Apple iOS 4.3.4;Y;
60;Apple iOS;Apple iOS 4.3.5;Y;
61;Apple iOS;Apple iOS 4.4.x;N;29
62;Apple iOS;Apple iOS 4.4.1;Y;
63;Apple iOS;Apple iOS 4.4.2;Y;
64;Apple iOS;Apple iOS 4.4.3;Y;
65;Apple iOS;Apple iOS 4.4.4;Y;
66;Apple iOS;Apple iOS 5.0.x;N;30
67;Apple iOS;Apple iOS 5.0.1;Y;
68;Apple iOS;Apple iOS 5.1.x;N;31
69;Apple iOS;Apple iOS 5.1.1;Y;
70;Apple iOS;Apple iOS 6.0.x;N;32
71;Apple iOS;Apple iOS 6.0.1;Y;
72;Apple iOS;Apple iOS 6.0.2;Y;
73;Apple iOS;Apple iOS 6.1.x;N;33
74;Apple iOS;Apple iOS 6.1.1;Y;
75;Apple iOS;Apple iOS 6.1.2;Y;
76;Apple iOS;Apple iOS 6.1.3;Y;
77;Apple iOS;Apple iOS 6.1.4;Y;
78;Apple iOS;Apple iOS 6.1.5;Y;
79;Apple iOS;Apple iOS 6.1.6;Y;
80;Apple iOS;Apple iOS 7.0.x;N;34
81;Apple iOS;Apple iOS 7.0.1;Y;
82;Apple iOS;Apple iOS 7.0.2;Y;
83;Apple iOS;Apple iOS 7.0.3;Y;
84;Apple iOS;Apple iOS 7.0.5;Y;
85;Apple iOS;Apple iOS 7.0.6;Y;
86;Apple iOS;Apple iOS 7.1.x;N;35
87;Apple iOS;iOS 7.1.1;Y;
88;Apple iOS;iOS 7.1.2;Y;
89;Apple iOS;iOS 8.0.x;N;36
90;Apple iOS;iOS 8.0.1;Y;
91;Apple iOS;iOS 8.0.2;Y;
92;Apple iOS;iOS 8.1.x;N;37
93;Apple iOS;iOS 8.1.1;Y;
94;Apple iOS;iOS 8.1.2;Y;
98;Apple iOS;iOS 8.2;N;38
99;Apple iOS;iOS 8.3;N;39
100;Apple iOS;iOS 8.4;N;40
0;Others;;N;41
