ID;DESC_1_TIER;DESC_2_TIER;IGNORE_OPENRTB_ID
1;Arts & Entertainment;;IAB1
27;Arts & Entertainment;Books & Literature;IAB1-1
28;Arts & Entertainment;Celebrity Fan/Gossip;IAB1-2
29;Arts & Entertainment;Fine Art;IAB1-3
30;Arts & Entertainment;Humor;IAB1-4
31;Arts & Entertainment;Movies;IAB1-5
32;Arts & Entertainment;Music;IAB1-6
33;Arts & Entertainment;Television;IAB1-7
2;Automotive;;IAB2
34;Automotive;Auto Parts;IAB2-1
35;Automotive;Auto Repair;IAB2-2
36;Automotive;Buying/Selling Cars;IAB2-3
37;Automotive;Car Culture;IAB2-4
38;Automotive;Certified Pre-Owned;IAB2-5
39;Automotive;Convertible;IAB2-6
40;Automotive;Coupe;IAB2-7
41;Automotive;Crossover;IAB2-8
42;Automotive;Diesel;IAB2-9
43;Automotive;Electric Vehicle;IAB2-10
44;Automotive;Hatchback;IAB2-11
45;Automotive;Hybrid;IAB2-12
46;Automotive;Luxury;IAB2-13
47;Automotive;MiniVan;IAB2-14
48;Automotive;Motorcycles;IAB2-15
49;Automotive;Off-Road Vehicles;IAB2-16
50;Automotive;Performance Vehicles;IAB2-17
51;Automotive;Pickup;IAB2-18
52;Automotive;Road-Side Assistance;IAB2-19
53;Automotive;Sedan;IAB2-20
54;Automotive;Trucks & Accessories;IAB2-21
55;Automotive;Vintage Cars;IAB2-22
56;Automotive;Wagon;IAB2-23
3;Business;;IAB3
57;Business;Advertising;IAB3-1
58;Business;Agriculture;IAB3-2
59;Business;Biotech/Biomedical;IAB3-3
60;Business;Business Software;IAB3-4
61;Business;Construction;IAB3-5
62;Business;Forestry;IAB3-6
63;Business;Government;IAB3-7
64;Business;Green Solutions;IAB3-8
65;Business;Human Resources;IAB3-9
66;Business;Logistics;IAB3-10
67;Business;Marketing;IAB3-11
68;Business;Metals;IAB3-12
4;Careers;;IAB4
69;Careers;Career Planning;IAB4-1
70;Careers;College;IAB4-2
71;Careers;Financial Aid;IAB4-3
72;Careers;Job Fairs;IAB4-4
73;Careers;Job Search;IAB4-5
74;Careers;Resume Writing/Advice;IAB4-6
75;Careers;Nursing;IAB4-7
76;Careers;Scholarships;IAB4-8
77;Careers;Telecommuting;IAB4-9
78;Careers;U.S. Military;IAB4-10
79;Careers;Career Advice;IAB4-11
5;Education;;IAB5
80;Education;7-12 Education;IAB5-1
81;Education;Adult Education;IAB5-2
82;Education;Art History;IAB5-3
83;Education;Colledge Administration;IAB5-4
