OS_NAME;OS_VERSION_MAJOR;OS_VERSION_MIDDLE;ID_1;ID_2;IGNORE
Android;*;*;1;;Android
Android;1;0;1;4;Android 1.0.x
Android;1;1;1;5;Android 1.1.x
Android;1;5;1;6;Android 1.5.x
Android;1;6;1;7;Android 1.6.x
Android;2;0;1;8;Android 2.0.x
Android;2;1;1;10;Android 2.1.x
Android;2;2;1;11;Android 2.2.x
Android;2;3;1;15;Android 2.3.x
Android;3;0;1;23;Android 3.0.x
Android;3;1;1;24;Android 3.1.x
Android;3;2;1;25;Android 3.2.x
Android;4;0;1;26;Android 4.0.x
Android;4;1;1;31;Android 4.1.x
Android;4;2;1;32;Android 4.2.x
Android;4;3;1;33;Android 4.3.x
Android;4;4;1;34;Android 4.4.x
Android;4;4W;1;95;Android 4.4W.x
Android;5;0;1;96;Android 5.0.x
Android;5;1;1;97;Android 5.1.x
iOS;*;*;2;;Apple iOS
iOS;3;0;2;35;Apple iOS 3.0.x
iOS;3;1;2;37;Apple iOS 3.1.x
iOS;3;2;2;40;Apple iOS 3.2.x
iOS;4;0;2;43;Apple iOS 4.0.x
iOS;4;1;2;46;Apple iOS 4.1.x
iOS;4;2;2;47;Apple iOS 4.2.x
iOS;4;3;2;55;Apple iOS 4.3.x
iOS;4;4;2;61;Apple iOS 4.4.x
iOS;5;0;2;66;Apple iOS 5.0.x
iOS;5;1;2;68;Apple iOS 5.1.x
iOS;6;0;2;70;Apple iOS 6.0.x
iOS;6;1;2;73;Apple iOS 6.1.x
iOS;7;0;2;80;Apple iOS 7.0.x
iOS;7;1;2;86;Apple iOS 7.1.x
iOS;8;0;2;89;iOS 8.0.x
iOS;8;1;2;92;iOS 8.1.x
iOS;8;2;2;98;iOS 8.2.x
iOS;8;3;2;99;iOS 8.3.x
iOS;8;4;2;100;iOS 8.4.x
*;*;*;0;;Others
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
