UA_PRIMARY_HARDWARE_TYPE;SDK;ID;IGNORE_DESC_1_TIER
Desktop;1;1;Web Placements
Desktop;*;0;Others / Unknown
Mobile Phone;1;2;Mobile Web Placements
Mobile Phone;3;3;Apps Placements
Tablet;1;2;Mobile Web Placements
Tablet;3;3;Apps Placements
eReader;1;2;Mobile Web Placements
eReader;3;3;Apps Placements
TV;*;4;TV Placements
Games Console;*;4;TV Placements
Set Top Box;*;4;TV Placements
Media Player;*;0;Others / Unknown
Plug-in Modem;*;0;Others / Unknown
Embedded Network Module;*;0;Others / Unknown
Camera;*;0;Others / Unknown
Wireless Hotspot;*;0;Others / Unknown
Wristwatch;*;0;Others / Unknown
Glasses;*;0;Others / Unknown
*;*;0;Others / Unknown
