ID;DESC_1_TIER
1;(UTC+00)  Europe / London
2;(UTC+00)  GMT
3;(UTC+01)  Europe / Berlin
4;(UTC+02)  Asia / Jerusalem
5;(UTC+03)  Asia / Tehran
6;(UTC+03)  Europe / Moscow
7;(UTC+04)  Asia / Dubai
8;(UTC+04)  Asia / Kabul
9;(UTC+05)  Asia / Kathmandu
10;(UTC+05)  Asia / Kolkata
11;(UTC+05)  Indian / Maldives
12;(UTC+06)  Asia / Dhaka
13;(UTC+06)  Asia / Rangoon
14;(UTC+06)  Indian / Cocos
15;(UTC+07)  Asia / Bangkok
16;(UTC+07)  Asia / Ho Chi Minh
17;(UTC+07)  Asia / Jakarta
18;(UTC+08)  Asia / Hong Kong
19;(UTC+08)  Asia / Macau
20;(UTC+08)  Asia / Beijing
21;(UTC+08)  Asia / Singapore
22;(UTC+08)  Asia / Taipei
23;(UTC+09)  Asia / Pyongyang
24;(UTC+09)  Asia / Seoul
25;(UTC+09)  Asia / Tokyo
26;(UTC+09)  Australia / Adelaide
27;(UTC+10)  Asia / Magadan
28;(UTC+10)  Australia / Sydney
29;(UTC+11)  Asia / Sakhalin
30;(UTC-01)  America / Scoresbysund
31;(UTC-02)  Atlantic / South Georgia
32;(UTC-03)  America / Argentina / Buenos Aires
33;(UTC-03)  Canada / Newfoundland
34;(UTC-04)  America / Caracas
35;(UTC-04)  America / Halifax
36;(UTC-05)  America / New York
37;(UTC-05)  US / Eastern
38;(UTC-06)  America / Chicago
39;(UTC-06)  US / Central
40;(UTC-07)  America / Denver
41;(UTC-07)  US / Mountain
42;(UTC-08)  America / Los Angeles
43;(UTC-08)  US / Pacific
44;(UTC-09)  America / Juneau
45;(UTC-10)  US / Hawaii
